Track ID,Time_In_ROI (s)
1,0.00
2,0.00
3,0.17
4,0.00
5,0.00
6,0.00
7,0.00
8,1.25
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
20,0.00
21,0.30
22,0.00
23,0.00
25,0.00
26,0.00
27,0.00
30,0.00
31,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
39,0.00
40,0.61
41,0.00
42,0.00
43,0.00
44,0.00
46,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,3.38
54,0.00
55,0.00
56,0.00
57,0.00
60,0.00
61,0.00
63,0.00
64,0.00
65,0.00
66,79.50
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,81.22
79,0.00
80,0.00
81,0.00
82,0.00
85,0.00
86,0.00
87,0.00
88,0.00
90,0.00
91,0.03
92,0.00
93,72.61
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
100,0.00
101,0.00
102,0.00
105,0.00
107,0.00
108,0.00
109,0.00
110,0.00
111,0.00
113,0.00
114,0.00
116,0.00
118,0.00
119,0.00
120,0.00
121,0.00
122,0.00
123,0.00
124,1.08
125,0.00
126,0.00
127,0.00
129,0.00
130,0.41
131,0.00
133,0.00
134,0.00
135,0.00
136,0.00
137,0.00
138,58.05
139,0.00
140,0.00
141,0.00
142,0.00
143,0.74
144,0.00
146,0.00
147,0.00
148,0.00
151,0.00
152,0.71
153,0.00
154,0.00
155,0.00
156,54.07
157,0.00
158,0.00
160,0.00
161,0.00
162,0.00
163,51.84
164,0.47
166,0.00
167,0.00
168,0.00
169,0.00
170,0.00
171,0.00
172,49.98
173,0.00
174,0.00
175,0.00
176,0.00
177,0.00
178,0.00
179,0.00
180,0.00
181,0.00
182,0.00
183,47.08
184,0.00
187,0.00
188,0.00
189,0.00
190,0.78
191,44.11
192,0.00
193,0.00
195,0.00
196,0.00
197,0.00
198,0.00
201,0.00
202,0.00
203,0.00
205,0.00
206,0.00
207,0.00
208,0.10
209,0.00
210,0.00
212,0.07
213,0.00
214,0.00
215,0.00
216,0.00
217,0.91
218,0.00
219,0.00
220,0.00
221,0.00
222,0.00
223,0.00
224,0.00
225,0.00
227,0.00
228,0.00
230,0.00
231,0.00
232,0.00
234,0.00
235,24.45
236,0.00
239,0.00
241,0.00
242,0.00
243,0.00
244,22.39
245,0.00
248,0.00
249,18.07
251,0.00
252,0.00
254,16.31
255,0.00
256,0.00
257,0.00
258,0.00
259,0.00
260,0.68
261,0.00
263,0.00
264,0.00
265,0.00
267,1.18
268,0.00
269,0.00
270,0.00
271,8.21
273,0.00
274,0.00
275,1.18
277,0.00
278,0.00
279,0.00
280,0.00
281,0.34
282,0.00
283,2.67
284,0.00
285,0.00
286,0.00
287,0.00
288,0.00
289,0.00
290,0.00
291,0.00
292,0.00
